,Concept_ID,tt,pt
0,Auge::N,күз,olho
1,Ohr::N,колак,orelha
2,Nase::N,борын,nariz
3,Mund::N,авыз,boca
4,Mund::N,тамак,boca
5,Zahn::N,теш,dente
6,Zunge::N,тел,língua
7,Lippe::N,ирен,lábio
8,Wange::N,яңак,face
9,Gesicht::N,йөз,cara
10,Gesicht::N,йөз,rosto
11,Stirn::N,маңгай,testa
12,Haar::N,чәч,cabelo
13,Schnurrbart::N,мыек,bigode
14,Bart::N,сакал,barba
15,Kinn::N,ияк,queixo
16,Kiefer[Anatomie]::N,казналык,maxila
17,Kiefer[Anatomie]::N,казналык,mandíbula
18,Kehle::N,тамак,garganta
19,Hals::N,бугаз,colo
20,Hals::N,бугаз,pescoço
21,Genick::N,җилкә,nuca
22,Kopf::N,баш,cabeça
23,Rücken::N,сырт,dorso
24,Rücken::N,сырт,costas
25,Bauch::N,корсак,ventre
26,Bauch::N,корсак,barriga
27,Nabel::N,кендек,umbigo
28,Busen::N,түш,seio
29,Brust::N,имчәк,peito
30,Brust::N,күкрәк,peito
31,Schulter::N,иңбаш,ombro
32,Schulter::N,кулбаш,ombro
33,Arm::N,кул,braço
34,Ellenbogen::N,терсәк,cotovelo
35,Hand::N,кул,mão
36,Handfläche::N,уч,palma
37,Handfläche::N,уч,palma da mão
38,Finger::N,бармак,dedo
39,Fingernagel::N,тырнак,unha
40,Nagel[Anatomie]::N,тырнак,unha
41,Zeh::N,бармак,dedo do pé
42,Fuß::N,табан,pé
43,Ferse::N,үкчә,calcanhar
44,Knie::N,тез,joelho
45,Oberschenkel::N,бот,coxa
46,Bein::N,аяк,perna
47,Körper::N,тән,corpo
48,Körper::N,җисем,corpo
49,Haut::N,тире,pele
50,Blut::N,кан,sangue
51,Ader::N,тамыр,veia
52,Sehne::N,сеңер,tendão
53,Knochen::N,сөяк,osso
54,Gehirn::N,ми,cérebro
55,Herz::N,йөрәк,coração
56,Magen::N,ашказаны,estômago
57,Leber::N,бавыр,fígado
58,Atem::N,сулыш,fôlego
59,Hunger::N,ачлык,fome
60,Träne::N,яшь,lágrima
61,Geschmack::N,тәм,gosto
62,Geschmack::N,зәвык,gosto
63,Geruch::N,ис,odor
64,Geruch::N,ис,cheiro
65,Schlaf::N,йокы,sono
66,Traum::N,төш,sonho
67,Himmel::N,күк,céu
68,Sonne::N,кояш,sol
69,Mond::N,ай,lua
70,Stern::N,йолдыз,estrela
71,Luft::N,һава,ar
72,Wind::N,җил,vento
73,Welle::N,дулкын,onda
74,Wasser::N,су,água
75,Stein::N,таш,pedra
76,Boden::N,туфрак,solo
77,Erde::N,җир,terra
78,Staub::N,тузан,pó
79,Rauch::N,төтен,fumo
80,Funke::N,очкын,faísca
81,Funke::N,очкын,centelha
82,Feuer::N,ут,fogo
83,Licht::N,якты,luz
84,Schatten::N,күләгә,sombra
85,Wetter::N,һава,tempo
86,Nebel::N,томан,nevoeiro
87,Wolke::N,болыт,nuvem
88,Regen::N,яңгыр,chuva
89,Schnee::N,кар,neve
90,Eis::N,боз,gelo
91,Frost::N,суык,gelo
92,Frost::N,суык,geada
93,Frost::N,салкын,gelo
94,Frost::N,салкын,geada
95,Kälte::N,суык,frio
96,Kälte::N,салкын,frio
97,Hitze::N,эсселек,ardor
98,Raureif::N,бәс,geada
99,Raureif::N,сыкы,geada
100,Regenbogen::N,салават күпере,arco-iris
101,Donner::N,күкрәү,trovão
102,Strömung::N,агыш'агым,corrente
103,Tropfen::N,тамчы,gota
104,Schaum::N,күбек,espuma
105,Schmutz::N,пычрак,sujidade
106,Schmutz::N,пычрак,imundície
107,See::N,күл,lago
108,Sumpf::N,саз,charco
109,Sumpf::N,саз,pântano
110,Moor::N,торфлык,pântano
111,Wiese::N,болын,prado
112,Wald::N,урман,bosque
113,Wald::N,урман,floresta
114,Hügel::N,калку,colina
115,Anhöhe::N,үр,alto
116,Anhöhe::N,үр,outeiro
117,Berg::N,тау,monte
118,Berg::N,тау,montanha
119,Gipfel::N,оч,pico
120,Höhle::N,мәгарә,caverna
121,Abhang::N,кабырга,encosta
122,Quelle::N,чишмә,fonte
123,Bach::N,елга,regato
124,Bach::N,елга,ribeiro
125,Fluss::N,дәрья,rio
126,Ufer::N,су кырые,beira
127,Küste::N,яр буе,costa
128,Festland::N,коры җир,terra firme
129,Meer::N,диңгез,mar
130,Bucht::N,бухта,baía
131,Bucht::N,култык,baía
132,Insel::N,атау,ilha
133,Insel::N,утрау,ilha
134,Blume::N,чәчкә,flor
135,Gras::N,үлән,erva
136,Wurzel::N,тамыр,raiz
137,Baum::N,агач,árvore
138,Stamm::N,кәүсә,tronco
139,Rinde::N,кабык,casca
140,Ast::N,ботак,ramo
141,Zweig::N,ботак,galho
142,Zweig::N,тармак,galho
143,Blatt::N,яфрак,folha
144,Birke::N,каен,bétula
145,Kiefer[Baum]::N,нарат,pinheiro
146,Weide[Baum]::N,тал,salgueiro
147,Tanne::N,чыршы,abeto
148,Horn::N,мөгез,corno
149,Horn::N,мөгез,chifre
150,Feder::N,йон,pena
151,Fell::N,тире,pele
152,Flügel::N,канат,asa
153,Klaue::N,тырнак,pata
154,Kralle::N,тырнак,unha
155,Kralle::N,тырнак,garra
156,Schwanz::N,койрык,rabo
157,Schwanz::N,койрык,cauda
158,Ei::N,күкәй,ovo
159,Ei::N,йомырка,ovo
160,Nest::N,оя,ninho
161,Bau::N,өн,toca
162,Bau::N,өн,covil
163,Tier::N,хайван,animal
164,Herde::N,көтү,rebanho
165,Kuh::N,сыер,vaca
166,Bulle::N,үгез,touro
167,Pferd::N,ат,cavalo
168,Schaf::N,сарык,ovelha
169,Schwein::N,дуңгыз,porco
170,Hund::N,эт,cão
171,Katze::N,песи,gata
172,Bär::N,аю,urso
173,Eichhörnchen::N,тиен,esquilo
174,Elch::N,поши,alce
175,Fuchs::N,төлке,raposa
176,Hase::N,куян,lebre
177,Maus::N,тычкан,rato
178,Wolf::N,бүре,lobo
179,Vogel::N,кош,ave
180,Vogel::N,кош,pássaro
181,Schwarm::N,көтү,bando
182,Schwarm::N,көтү,enxame
183,Huhn::N,тавык,galinha
184,Hahn::N,әтәч,galo
185,Gans::N,каз,ganso
186,Adler::N,каракош,águia
187,Ente::N,үрдәк,pata
188,Eule::N,ябалак,mocho
189,Eule::N,ябалак,coruja
190,Kranich::N,торна,grou
191,Krähe::N,карга,gralha
192,Kuckuck::N,күке,cuco
193,Kuckuck::N,кәккүк,cuco
194,Schwan::N,аккош,cisne
195,Fisch::N,балык,peixe
196,Barsch::N,алабуга,perca
197,Hecht::N,чуртан,lúcio
198,Schlange[Tier]::N,елан,serpente
199,Wurm::N,корт,verme
200,Spinne::N,үрмәкүч,aranha
201,Ameise::N,кырмыска,formiga
202,Laus::N,бет,piolho
203,Mücke::N,черки,mosquito
204,Mücke::N,озынборын,mosquito
205,Fliege::N,чебен,mosca
206,Schmetterling::N,күбәләк,borboleta
207,Beere::N,җиләк,bago
208,Apfel::N,алма,maçã
209,Pilz::N,гөмбә,fungo
210,Pilz::N,гөмбә,cogumelo
211,Zwiebel::N,суган,cebola
212,Zwiebel::N,суганбаш,cebola
213,Saat::N,орлык,sementeira
214,Korn::N,иген,grão
215,Korn::N,орлык,grão
216,Heu::N,печән,feno
217,Schale::N,кабык,casca
218,Grube::N,баз,cova
219,Grube::N,баз,fossa
220,Grube::N,чокыр,cova
221,Grube::N,чокыр,fossa
222,Falle::N,тозак,armadilha
223,Falle::N,капкын,armadilha
224,Schlinge::N,элмәк,laço
225,Spur::N,эз,pista
226,Spur::N,эз,vestígio
227,Asche::N,көл,cinza
228,Dreck::N,пычрак,sujidade
229,Eisen::N,тимер,ferro
230,Gold::N,алтын,ouro
231,Silber::N,көмеш,prata
232,Kohle::N,күмер,carvão
233,Glas::N,пыяла,vidro
234,Lehm::N,балчык,barro
235,Lehm::N,балчык,argila
236,Sand::N,ком,areia
237,Mensch::N,адәм,homem
238,Mensch::N,адәм,pessoa
239,Mensch::N,инсан,homem
240,Mensch::N,инсан,pessoa
241,Mann::N,ир,homem
242,Frau::N,хатын,mulher
243,Kind::N,бала,filho
244,Kind::N,бала,criança
245,Junge::N,малай,rapaz
246,Junge::N,малай,menino
247,Mädchen::N,кыз,menina
248,Mädchen::N,кыз,rapariga
249,Familie::N,гаилә,família
250,Großvater::N,бабай,avô
251,Großmutter::N,әби,avó
252,Eltern::N,ата-ана,pais
253,Vater::N,ата,pai
254,Mutter::N,ана,mãe
255,Sohn::N,ул,filho
256,Tochter::N,кыз,filha
257,Bruder::N,кардәш,irmão
258,Schwester::N,апа,irmã
259,Schwester::N,сеңел,irmã
260,Onkel::N,дәдә,tio
261,Onkel::N,дәдәй,tio
262,Tante::N,түти,tia
263,Tante::N,тәтәй,tia
264,Ehemann::N,ир,esposo
265,Ehefrau::N,хатын,esposa
266,Freude::N,сөенеч,prazer
267,Freude::N,сөенеч,alegria
268,Gelächter::N,көлү,risada
269,Gelächter::N,көлү,gargalhada
270,Gelächter::N,көлеш,risada
271,Gelächter::N,көлеш,gargalhada
272,Glück::N,бәхет,felicidade
273,Kummer::N,хәсрәт,aflição
274,Kummer::N,хәсрәт,desgosto
275,Wunsch::N,теләк,desejo
276,Lust::N,теләк,vontade
277,Lust::N,теләү,vontade
278,Geist::N,рух,mente
279,Geist::N,рух,espírito
280,Gedanke::N,уй,ideia
281,Gedanke::N,уй,pensamento
282,Gedanke::N,фикер,ideia
283,Gedanke::N,фикер,pensamento
284,Gedächtnis::N,хәтер,memória
285,Verstand::N,акыл,razão
286,Verstand::N,акыл,inteligência
287,Sinn::N,мәгънә,sentido
288,Sinn::N,мәгънә,significado
289,Grund::N,сәбәп,causa
290,Grund::N,сәбәп,motivo
291,Wahrheit::N,хак,verdade
292,Gespräch::N,әңгәмә,conversa
293,Gespräch::N,әңгәмә,conversação
294,Märchen::N,әкият,conto
295,Erzählung::N,хикәя,conto
296,Erzählung::N,хикәя,narrativa
297,Nachricht::N,хәбәр,mensagem
298,Neuigkeit::N,яңалык,notícia
299,Neuigkeit::N,яңалык,novidade
300,Name::N,исем,nome
301,Rätsel::N,табышмак,adivinha
302,Rede::N,нотык,oração
303,Rede::N,нотык,discurso
304,Sprache::N,тел,língua
305,Stimme::N,тавыш,voz
306,Wort::N,сүз,palavra
307,Zeichen::N,ишарә,marca
308,Ruf::N,дәшү,grito
309,Ruf::N,дәшү,chamada
310,Lärm::N,шау,ruído
311,Lärm::N,шау,barulho
312,Laut::N,аваз,som
313,Ton::N,шалтырату,tom
314,Lied::N,җыр,canção
315,Ruhe::N,тынлык,calma
316,Ruhe::N,тынлык,silêncio
317,Leute::N,халык,gente
318,Leute::N,халык,pessoas
319,Volk::N,халык,povo
320,Volk::N,халык,nação
321,Arbeit::N,эш,trabalho
322,Arbeit::N,хезмәт,trabalho
323,Gast::N,кунак,hóspede
324,Gast::N,кунак,convidado
325,Geschenk::N,бүләк,prenda
326,Geschenk::N,бүләк,presente
327,Spiel::N,уен,jogo
328,Gesellschaft::N,җәмгыять,companhia
329,Hilfe::N,ярдәм,ajuda
330,Hilfe::N,ярдәм,socorro
331,Hilfe::N,булышлык,ajuda
332,Hilfe::N,булышлык,socorro
333,Freund::N,дус,amigo
334,Kamerad::N,иптәш,camarada
335,Angelegenheit::N,эш,assunto
336,Anzahl::N,микъдар,número
337,Anzahl::N,микъдар,quantidade
338,Art::N,төр,tipo
339,Art::N,төр,espécie
340,Stück::N,кисәк,pedaço
341,Teil::N,өлеш,peça
342,Teil::N,өлеш,parte
343,Hälfte::N,ярым,metade
344,Kreis::N,түгәрәк,círculo
345,Kreuz::N,хач,cruz
346,Kreuz::N,тәре,cruz
347,Linie::N,сызык,linha
348,Strich::N,сызык,traço
349,Abstand::N,ара,distância
350,Entfernung::N,ераклык,distância
351,Gegend::N,урын,área
352,Gegend::N,урын,região
353,Platz::N,бушлык,lugar
354,Ort::N,урын,sítio
355,Seite::N,як,lado
356,Mitte::N,урта,meio
357,Gegenstand::N,нәрсә,objecto
358,Sache::N,нәрсә,coisa
359,Rand::N,чит,bordo
360,Rand::N,чит,margem
361,Kante::N,кырый,borda
362,Kante::N,кырый,aresta
363,Ecke::N,почмак,esquina
364,Spitze::N,оч,ponta
365,Ende::N,азак,cabo
366,Ende::N,азак,extremo
367,Loch::N,тишек,furo
368,Loch::N,тишек,buraco
369,Winkel::N,почмак,canto
370,Winkel::N,почмак,ângulo
371,Muster::N,парча,padrão
372,Muster::N,парча,desenho
373,Größe::N,зурлык,tamanho
374,Länge::N,озынлык,comprimento
375,Höhe::N,биеклек,altura
376,Höhe::N,биеклек,altitude
377,Gewicht::N,авырлык,peso
378,Menge::N,микъдар,quantidade
379,Haufen::N,өем,pilha
380,Reihe::N,рәт,fila
381,Boot::N,каек,barco
382,Boot::N,көймә,barco
383,Ruder::N,ишкәк,remo
384,Schlitten::N,чана,trenó
385,Ski::N,чаңгы,esqui
386,Lagerfeuer::N,костёр,fogueira
387,Last::N,йөк,carga
388,Gang::N,йөреш,curso
389,Gang::N,йөреш,caminhada
390,Schritt::N,адым,passo
391,Norden::N,төньяк,norte
392,Süden::N,көньяк,sul
393,Westen::N,көнбатыш,oeste
394,Westen::N,көнбатыш,ocidente
395,Osten::N,шәрык,este
396,Osten::N,шәрык,leste
397,Osten::N,шәрык,oriente
398,Osten::N,көнчыгыш,este
399,Osten::N,көнчыгыш,leste
400,Osten::N,көнчыгыш,oriente
401,Holz::N,агач,madeira
402,Brett::N,такта,tábua
403,Brett::N,такта,prancha
404,Platte::N,плитә,laje
405,Platte::N,плитә,chapa
406,Stütze::N,таяу,apoio
407,Stütze::N,таяу,suporte
408,Stange::N,колга,vara
409,Stange::N,колга,barra
410,Stock::N,таяк,pau
411,Stock::N,таяк,bengala
412,Stab::N,таяк,bastão
413,Rohr::N,торба,cano
414,Haus::N,өй,casa
415,Haus::N,йорт,casa
416,Heim::N,гаилә,lar
417,Heim::N,гаилә,casa
418,Heim::N,нәсел,lar
419,Heim::N,нәсел,casa
420,Ofen::N,мич,estufa
421,Ofen::N,мич,aquecedor
422,Fußboden::N,идән,piso
423,Tisch::N,өстәл,mesa
424,Stuhl::N,утыргыч,cadeira
425,Wiege::N,бишек,berço
426,Bett::N,ятак,cama
427,Bett::N,урын-җир,cama
428,Regal::N,киштә,estante
429,Regal::N,киштә,prateleira
430,Regal::N,шүрлек,estante
431,Regal::N,шүрлек,prateleira
432,Kiste::N,әрҗә,caixa
433,Fenster::N,тәрәзә,janela
434,Tür::N,ишек,porta
435,Tor::N,капка,portão
436,Zaun::N,койма,cerca
437,Zaun::N,койма,vedação
438,Dach::N,түбә,telhado
439,Leiter::N,баскыч,escada
440,Leiter::N,баскыч,escada móvel
441,Besen::N,себерке,vassoura
442,Spaten::N,көрәк,pá
443,Schaufel::N,көрәк,pá
444,Gabel::N,чәннечке,garfo
445,Löffel::N,кашык,colher
446,Messer::N,пычак,faca
447,Nagel::N,кадак,cravo
448,Netz::N,челтәр,rede
449,Haken::N,ыргак,gancho
450,Griff::N,тотка,asa
451,Griff::N,тотка,cabo
452,Schloss::N,йозак,fechadura
453,Bild::N,рәсем,imagem
454,Bild::N,картина,imagem
455,Figur::N,сын,figura
456,Figur::N,фигура,figura
457,Puppe::N,курчак,boneca
458,Beutel::N,луза,saco
459,Beutel::N,луза,bolsa
460,Bündel::N,бәйләм,fardo
461,Tasche::N,букча,saco
462,Tasche::N,букча,bolso
463,Eimer::N,чиләк,balde
464,Deckel::N,капкач,tampa
465,Geschirr::N,савыт-саба,louça
466,Geschirr::N,кашык-аяк,louça
467,Sack::N,капчык,saca
468,Tasse::N,чынаяк,chávena
