,Concept_ID,sk,kk
0,Auge::N,oko,көз
1,Ohr::N,ucho,құлақ
2,Nase::N,nos,мұрын
3,Mund::N,ústa,ауыз
4,Zahn::N,zub,тіс
5,Zunge::N,jazyk,тіл
6,Lippe::N,pera,ерін
7,Wange::N,líce,ұрт
8,Gesicht::N,tvár,бет-аузы
9,Gesicht::N,obličaj,бет-аузы
10,Stirn::N,čelo,маңдай
11,Haar::N,vlas,қыл
12,Schnurrbart::N,fúzy,мұрт
13,Bart::N,brada,сақал
14,Kinn::N,brada,иек
15,Kiefer[Anatomie]::N,čeľusť,жақ
16,Kehle::N,hrdlo,алқым
17,Hals::N,krk,мойын
18,Genick::N,väzy,желке
19,Kopf::N,hlava,кәллә
20,Rücken::N,chrbát,арқа
21,Bauch::N,brucho,қарын
22,Nabel::N,pupok,кіндік
23,Busen::N,prsia,омырау
24,Brust::N,hruď,кеуде
25,Schulter::N,plece,иық
26,Arm::N,rameno,қол
27,Ellenbogen::N,lakeť,шынтақ
28,Hand::N,ruka,қол
29,Handfläche::N,dlaň,алақан
30,Finger::N,prst,саусақ
31,Fingernagel::N,necht,тырнақ
32,Nagel[Anatomie]::N,necht,тырнақ
33,Zeh::N,prst na nohe,тырнақ
34,Zeh::N,prst na nohe,тұяқ
35,Fuß::N,noha,аяқ-басы
36,Ferse::N,päta,өкше
37,Ferse::N,päta,өкшелік
38,Knie::N,koleno,тізе
39,Oberschenkel::N,stehno,жамбас
40,Bein::N,noha,аяқ
41,Körper::N,telo,дене
42,Haut::N,koža,тері
43,Blut::N,krv,қан
44,Ader::N,žila,көктамыр
45,Ader::N,žila,күретамыр
46,Sehne::N,šľacha,сіңір
47,Knochen::N,kosť,жілік
48,Gehirn::N,mozog,ми
49,Herz::N,srdce,жүрек
50,Magen::N,žalúdok,асқазан
51,Leber::N,pečeň,бауыр
52,Atem::N,dych,леп
53,Hunger::N,hlad,ашаршылық
54,Träne::N,slza,жас
55,Geschmack::N,chuť,дәм
56,Geschmack::N,chuť,татым
57,Geschmack::N,chuť,талғам
58,Geruch::N,pach,иіс
59,Schlaf::N,spánok,ұйқы
60,Schlaf::N,spánok,ұйықтау
61,Traum::N,sen,түс
62,Himmel::N,nebo,аспан
63,Himmel::N,nebo,көқ
64,Himmel::N,nebo,таңдай
65,Sonne::N,slnko,күн
66,Mond::N,mesiac,ай
67,Stern::N,hviezda,жұлдыз
68,Luft::N,vzduch,әуе
69,Wind::N,vietor,жел
70,Welle::N,vlna,толқын
71,Wasser::N,voda,су
72,Stein::N,kameň,тас
73,Boden::N,zem,қыртыс
74,Boden::N,pôda,қыртыс
75,Erde::N,zem,топырақ
76,Staub::N,prach,шаң
77,Rauch::N,dym,түтін
