,Concept_ID,hy,pt
0,Auge::N,աչք,olho
1,Ohr::N,ականջ,orelha
2,Nase::N,քիթ,nariz
3,Mund::N,բերան,boca
4,Zahn::N,ատամ,dente
5,Zunge::N,լեզու,língua
6,Lippe::N,շրթունք,lábio
7,Wange::N,այտ,face
8,Wange::N,թուշ,face
9,Gesicht::N,դեմք,cara
10,Gesicht::N,դեմք,rosto
11,Stirn::N,ճակատ,testa
12,Haar::N,մազ,cabelo
13,Schnurrbart::N,բեղ,bigode
14,Bart::N,մորուք,barba
15,Kinn::N,կզակ,queixo
16,Kiefer[Anatomie]::N,ծնոտ,maxila
17,Kiefer[Anatomie]::N,ծնոտ,mandíbula
18,Kehle::N,կոկորդ,garganta
19,Hals::N,վիզ,colo
20,Hals::N,վիզ,pescoço
21,Hals::N,պարանոց,colo
22,Hals::N,պարանոց,pescoço
23,Genick::N,ծոծրակ,nuca
24,Kopf::N,գլուխ,cabeça
25,Rücken::N,մեջք,dorso
26,Rücken::N,մեջք,costas
27,Bauch::N,փոր,ventre
28,Bauch::N,փոր,barriga
29,Bauch::N,որովայն,ventre
30,Bauch::N,որովայն,barriga
31,Nabel::N,պորտ,umbigo
32,Busen::N,ծոց,seio
33,Brust::N,կուրծք,peito
34,Schulter::N,ուս,ombro
35,Arm::N,թեւ,braço
36,Arm::N,բազուկ,braço
37,Ellenbogen::N,արմունկ,cotovelo
38,Hand::N,ձեռք,mão
39,Handfläche::N,ափ,palma
40,Handfläche::N,ափ,palma da mão
41,Finger::N,մատ,dedo
42,Fingernagel::N,եղունգ,unha
43,Nagel[Anatomie]::N,եղունգ,unha
44,Zeh::N,ոտքի մատ,dedo do pé
45,Fuß::N,ոտք,pé
46,Ferse::N,գարշապար,calcanhar
47,Knie::N,ծունկ,joelho
48,Oberschenkel::N,ազդր,coxa
49,Bein::N,ոտք,perna
50,Körper::N,մարմին,corpo
51,Haut::N,մաշկ,pele
52,Blut::N,արյուն,sangue
53,Ader::N,երակ,veia
54,Sehne::N,ջիղ,tendão
55,Sehne::N,ձգտան,tendão
56,Knochen::N,ոսկոր,osso
57,Gehirn::N,խելք,cérebro
58,Herz::N,սիրտ,coração
59,Magen::N,ստամոքս,estômago
60,Leber::N,լյարդ,fígado
61,Atem::N,շունչ,fôlego
62,Hunger::N,քաղց,fome
63,Träne::N,արտասուք,lágrima
64,Geschmack::N,համ,gosto
65,Geschmack::N,բուրմունք,gosto
66,Geruch::N,հոտ,odor
67,Geruch::N,հոտ,cheiro
68,Geruch::N,բուրում,odor
69,Geruch::N,բուրում,cheiro
70,Schlaf::N,քուն,sono
71,Traum::N,երազ,sonho
72,Himmel::N,երկինք,céu
73,Sonne::N,արեւ,sol
74,Mond::N,լուսին,lua
75,Stern::N,աստղ,estrela
76,Luft::N,օդ,ar
77,Wind::N,քամի,vento
78,Welle::N,ալիք,onda
79,Wasser::N,ջուր,água
80,Stein::N,քար,pedra
81,Boden::N,գետին,solo
82,Erde::N,հող,terra
83,Staub::N,փոշի,pó
84,Rauch::N,ծուխ,fumo
85,Funke::N,կայծ,faísca
86,Funke::N,կայծ,centelha
87,Feuer::N,կրակ,fogo
88,Feuer::N,հրդեհ,fogo
89,Licht::N,լույս,luz
90,Schatten::N,ստվեր,sombra
91,Wetter::N,եղանակ,tempo
92,Nebel::N,մեգ,nevoeiro
93,Nebel::N,մառախուղ,nevoeiro
94,Wolke::N,ամպ,nuvem
95,Regen::N,անձրև,chuva
96,Schnee::N,ձյուն,neve
97,Eis::N,սառույց,gelo
98,Frost::N,սառնամանիք,gelo
99,Frost::N,սառնամանիք,geada
100,Kälte::N,դող,frio
101,Hitze::N,շոգ,ardor
102,Raureif::N,ցօղեղեամ,geada
103,Regenbogen::N,ծիածան,arco-iris
104,Donner::N,որոտ,trovão
105,Strömung::N,հոսանք,corrente
106,Tropfen::N,կաթիլ,gota
107,Schaum::N,փրփուր,espuma
108,Schmutz::N,կեղտ,sujidade
109,Schmutz::N,կեղտ,imundície
110,See::N,լիճ,lago
111,Sumpf::N,ճահիճ,charco
112,Sumpf::N,ճահիճ,pântano
113,Moor::N,ճահիճ,pântano
114,Wiese::N,մարգագետին,prado
115,Wald::N,անտառ,bosque
116,Wald::N,անտառ,floresta
117,Hügel::N,բլուր,colina
118,Anhöhe::N,բարձունք,alto
119,Anhöhe::N,բարձունք,outeiro
120,Berg::N,լեռ,monte
121,Berg::N,լեռ,montanha
122,Gipfel::N,գագաթ,pico
123,Gipfel::N,կատար,pico
124,Höhle::N,քարայր,caverna
125,Abhang::N,լանջ,encosta
126,Abhang::N,զառիվայր,encosta
127,Quelle::N,աղբյուր,fonte
128,Bach::N,վտակ,regato
129,Bach::N,վտակ,ribeiro
130,Fluss::N,գետ,rio
131,Ufer::N,ծովափ,beira
132,Küste::N,ափ,costa
133,Küste::N,ծովափ,costa
134,Festland::N,ցամաք,terra firme
135,Meer::N,ծով,mar
136,Bucht::N,հաչիւն,baía
137,Insel::N,վղզի,ilha
138,Blume::N,ծաղիկ,flor
139,Gras::N,խոտ,erva
140,Wurzel::N,արմատ,raiz
141,Baum::N,ծառ,árvore
142,Stamm::N,իրան,tronco
