,Concept_ID,ko,is
0,Auge::N,눈,auga
1,Ohr::N,귀,eyra
2,Nase::N,코,nef
3,Mund::N,입,munnur
4,Zahn::N,이,tönn
5,Zunge::N,혀,tunga
6,Lippe::N,입술,vör
7,Wange::N,뺨,kinn
8,Wange::N,뺨,vangi
9,Gesicht::N,얼굴,andlit
10,Stirn::N,이마,enni
11,Haar::N,털,hár
12,Schnurrbart::N,윗수몀,yfirskegg
13,Schnurrbart::N,코밑수염,yfirskegg
14,Bart::N,수엄,skegg
15,Kinn::N,아래턱,haka
16,Kiefer[Anatomie]::N,턱,kjálki
17,Kiefer[Anatomie]::N,턱,skoltur
18,Kehle::N,인후,kverk
19,Hals::N,목,háls
20,Genick::N,먹덜이,hnakki
21,Kopf::N,머리,höfuð
22,Rücken::N,든,hryggur
23,Bauch::N,배,kviður
24,Nabel::N,배꼽,nafli
25,Busen::N,가슴속,barmur
26,Brust::N,가슴,brjóst
27,Schulter::N,어깨,öxl
28,Arm::N,팔,armur
29,Ellenbogen::N,팔쿰치,olnbogi
30,Hand::N,손,hönd
31,Handfläche::N,손바닥,lófi
32,Finger::N,속가락,fingur
33,Fingernagel::N,손톱,fingurnögl
34,Nagel[Anatomie]::N,손톱,nögl
35,Zeh::N,발가락,tá
36,Fuß::N,발,fótur
37,Ferse::N,발꿈치,hæll
38,Knie::N,무릎,kné
39,Oberschenkel::N,허벅다리,læri
40,Bein::N,다리,fótleggur
41,Körper::N,구간,búkur
42,Körper::N,구간,líkami
43,Haut::N,살갗,húð
44,Haut::N,살갗,skinn
45,Blut::N,피,blóð
46,Ader::N,정맥,æð
47,Sehne::N,현,sin
48,Knochen::N,뼈,bein
49,Gehirn::N,뇌,heili
50,Gehirn::N,뇌수,heili
51,Herz::N,염통,hjarta
52,Magen::N,위,magi
53,Leber::N,간,lifur
54,Atem::N,기식,andi
55,Atem::N,기식,andardráttur
56,Hunger::N,공복,hungur
57,Träne::N,눈물,tár
58,Geschmack::N,기호,smekkur
59,Geruch::N,냄새,lykt
60,Schlaf::N,수면,svefn
61,Traum::N,쿰,draumur
62,Himmel::N,하늘,himinn
63,Sonne::N,해,sól
64,Mond::N,달,tungl
65,Stern::N,별,stjarna
66,Luft::N,동준,loft
67,Luft::N,가스채,loft
68,Wind::N,바람,vindur
69,Welle::N,물결,alda
70,Welle::N,물결,bylgja
71,Wasser::N,물,vatn
72,Stein::N,돌,steinn
73,Boden::N,바닥,botn
74,Erde::N,흙,jörð
75,Staub::N,먼지,ryk
76,Staub::N,먼지,duft
77,Rauch::N,연기,reykur
78,Funke::N,불티,neisti
79,Feuer::N,불,eldur
80,Licht::N,불,ljós
81,Schatten::N,어스레함,skuggi
82,Wetter::N,기상,veður
83,Nebel::N,안개,þoka
84,Wolke::N,구름,ský
85,Regen::N,비,regn
86,Schnee::N,눈,snjór
87,Eis::N,얼음,ís
88,Frost::N,혹한,frost
89,Kälte::N,추위,kuldi
90,Kälte::N,차가움,kuldi
91,Hitze::N,고온,hiti
92,Hitze::N,더위,hiti
93,Regenbogen::N,무지개,regnbogi
94,Donner::N,뇌명,þruma
95,Strömung::N,유동,straumur
96,Tropfen::N,물방울,dropi
97,Schaum::N,포말,froða
98,Schmutz::N,때,óhreinindi
99,See::N,호수,stöðuvatn
100,Sumpf::N,습지,fen
101,Moor::N,저습지,mýri
102,Wiese::N,목초지,engi
103,Wald::N,숲,skógur
104,Hügel::N,언덕,hæð
105,Hügel::N,언덕,hóll
106,Anhöhe::N,언덕,hæð
107,Anhöhe::N,언덕,hóll
108,Berg::N,산,fell
109,Berg::N,산,fjall
