,Concept_ID,ml,az
0,Auge::N,കണ്ണ്,göz
1,Ohr::N,ചെവി,qulaq
2,Nase::N,മൂക്ക്,burun
3,Mund::N,വായ,ağız
4,Zahn::N,പല്ല്,diş
5,Zunge::N,നാക്ക്,dil
6,Lippe::N,ചുണ്ട്,dodaq
7,Wange::N,കവിൾത്തടം,yanaq
8,Gesicht::N,മുഖം,üz
9,Stirn::N,നെറ്റി,alın
10,Haar::N,തലമുടി,saç
11,Schnurrbart::N,മീശ,bığ
12,Bart::N,താടിരോമം,saqqal
13,Kinn::N,താടി,çənə
14,Kiefer[Anatomie]::N,താടിയെല്ല്,çənə
15,Kehle::N,കണ്ഠനാളം,boğaz
16,Hals::N,കഴുത്ത്,boyun
17,Genick::N,പിടലി,ənsə
18,Kopf::N,തല,baş
19,Rücken::N,മുതുക്,bel
20,Bauch::N,നയറ്,qarın
21,Nabel::N,നാഭി,göbək
22,Busen::N,സ്തനം,məmə
23,Brust::N,സ്തനം,döş
24,Schulter::N,തോൾ,çiyin
25,Arm::N,കൈ,qol
26,Ellenbogen::N,കൈമുട്ട്,dirsək
27,Hand::N,കൈ,əl
28,Handfläche::N,ഉള്ളം കൈ,ovuc
29,Finger::N,വിരൽ,barmaq
30,Fingernagel::N,നഖം,barmaq dırnağı
31,Nagel[Anatomie]::N,നഖം,dırnak
32,Zeh::N,കാൽവിരൽ,ayaq barmağı
33,Fuß::N,കാൽപ്പാദം,ayaq
34,Ferse::N,ഉപ്പൂറ്റി,daban
35,Knie::N,കാൽമുട്ട്,diz
36,Oberschenkel::N,തുട,bud
37,Bein::N,കാൽ,qıç
38,Körper::N,ശരീരം,əndam
39,Haut::N,ചർമ്മം,dəri
40,Blut::N,രക്തം,qan
41,Ader::N,ഞരമ്പ്,damar
42,Sehne::N,സ്നായു,vətər
43,Knochen::N,അസ്ഥി,sümük
44,Gehirn::N,തലച്ചോറ്,beyin
45,Herz::N,ഹൃദയം,ürək
46,Magen::N,വയർ,mədə
47,Leber::N,കരൾ,qara ciyər
48,Atem::N,ശ്വാസം,nəfəs
49,Hunger::N,വിശപ്പ്,aclıq
50,Träne::N,കണ്ണീർ,göz yaşı
51,Geschmack::N,രുചി,tam
52,Geschmack::N,രുചി,ləzzət
53,Geruch::N,ഗന്ധം,qoxu
54,Schlaf::N,ഉറകും,yuxu
55,Traum::N,സ്വപ്നം,röya
56,Himmel::N,ആകാശം,göy
57,Himmel::N,ആകാശം,səma
58,Sonne::N,സൂര്യൻ,günəş
59,Mond::N,ചന്ദ്രൻ,ay
60,Stern::N,നക്ഷത്രം,ulduz
61,Luft::N,കാറ്റ്,hava
62,Wind::N,കാറ്റ്,yel
63,Wind::N,കാറ്റ്,külək
64,Welle::N,തിരമാല,dalğa
65,Wasser::N,വെള്ളം,su
66,Stein::N,ശില,daş
67,Stein::N,കല്ല്,daş
68,Boden::N,തറ,yer
69,Boden::N,തറ,zəmin
70,Boden::N,നിലം,yer
71,Boden::N,നിലം,zəmin
72,Erde::N,മണ്ണ്,yer torpaq
73,Staub::N,പൊടി,toz
74,Rauch::N,പുക,tüstü
75,Funke::N,തീപ്പൊരി,qığılcım
76,Feuer::N,തീ,od
77,Licht::N,വിളക്ക്,işıq
78,Licht::N,സൂര്യപ്രകാശം,işıq
79,Schatten::N,തണൽ,kölgə
80,Wetter::N,കാലാവസ്ഥ,hava
81,Nebel::N,മൂടൽമഞ്ഞ്,duman
82,Wolke::N,മേഘം,bulud
83,Regen::N,മഴ,yağış
84,Regen::N,മഴ,yağmur
85,Schnee::N,മഞ്ഞ്,qar
86,Eis::N,ഐസ്,buz
87,Frost::N,മൂടൽമഞ്ഞ്,ayaz
88,Kälte::N,തണുപ്പ്,soyuq
89,Hitze::N,ചൂട്,coşğunluq
90,Raureif::N,കോടമഞ്ഞ്,qırov
91,Regenbogen::N,മഴവില്ല്,göy qurşağı
92,Donner::N,ഇടി,göy gurultusu
93,Strömung::N,പ്രവാഹം,axın
94,Tropfen::N,തുള്ളി,damcı
95,Schaum::N,നുര,köpük
96,Schmutz::N,അഴുക്ക്,çamır
97,See::N,തടാകം,göl
98,Sumpf::N,ചതുപ്പുനിലം,bataqlıq
99,Moor::N,പാഴ്നിലം,bataqlıq
100,Wiese::N,പുൽത്തകിടി,çəmən
101,Wald::N,വനം,meşə
102,Wald::N,കാട്,meşə
103,Hügel::N,കുന്ന്,təpə
104,Anhöhe::N,ഉയർന്ന ഭൂമി,təpə
105,Berg::N,പർവ്വതം,dağ
106,Gipfel::N,ഉച്ചകോടി,zirvə
107,Höhle::N,ഗുഹ,mağara
108,Abhang::N,ചരിവ്,yamac
109,Quelle::N,ഉറവിടം,bulaq
110,Bach::N,അരുവി,kiçik çay
111,Fluss::N,നദി,çay
112,Ufer::N,തീരം,kənar
113,Küste::N,കടൽത്തീരം,sahil
114,Festland::N,കര,materik
115,Meer::N,കടൽ,dəniz
116,Bucht::N,ഉൾക്കടല്,körfəz
117,Insel::N,ദ്വീപ്,ada
118,Blume::N,പൂവ്,çiçək
119,Gras::N,പുല്ല്,ot
120,Wurzel::N,വേര്,kök
121,Baum::N,മരം,ağac
122,Stamm::N,തായ്ത്തടി,gövdə
123,Rinde::N,പട്ട,qabıq
124,Ast::N,ശാഖ,şax
125,Zweig::N,ശാഖ,budaq
126,Blatt::N,ഇല,yarpaq
127,Birke::N,പൂവരശ്,tozağacı
128,Kiefer[Baum]::N,പൈൻമരം,şam
129,Weide[Baum]::N,വില്ലോ,söyüd
130,Tanne::N,ദേവദാരു,küknar
131,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,buynuz
132,Feder::N,തൂവൽ,tük
133,Feder::N,തൂവൽ,lələk
134,Fell::N,മൃദുരോമം,xəz
135,Flügel::N,ചിറക്,qanad
136,Klaue::N,നഖം,pəncə
137,Kralle::N,നഖം,dırnaq
138,Schwanz::N,വാൽ,quyruq
139,Ei::N,മുട്ട,yumurta
140,Nest::N,കൂട്,yuva
141,Bau::N,മാളം,yuva
142,Tier::N,മൃഗം,heyvan
143,Herde::N,കൂട്ടം,sürü
144,Kuh::N,പശു,inək
145,Bulle::N,കാള,öküz
146,Pferd::N,കുതിര,at
147,Schaf::N,ആട്,qoyun
148,Schwein::N,പന്നി,donuz
149,Hund::N,നായ്,it
150,Hund::N,നായ്,köpək
151,Katze::N,പൂച്ച,pişik
152,Bär::N,കരടി,ayı
153,Eichhörnchen::N,അണ്ണാൻ,dələ
154,Elch::N,കടമാന്,sığın
155,Fuchs::N,കുറുക്കൻ,tülkü
156,Hase::N,മുയൽ,dovşan
157,Maus::N,ചുണ്ടലി,siçan
158,Wolf::N,ചെന്നായ,qurd
159,Vogel::N,പക്ഷി,quş
160,Schwarm::N,കൂട്ടം,sürü
161,Huhn::N,കോഴി,toyuq
162,Hahn::N,പൂവൻകോഴി,xoruz
163,Gans::N,അരയന്നം,qaz
164,Adler::N,കഴുകൻ,qartal
165,Adler::N,കഴുകൻ,qaraquş
166,Ente::N,താറാവ്,ördək
167,Eule::N,മൂങ്ങ,bayquş
168,Kranich::N,കൊക്ക്,durna
169,Krähe::N,കാക്ക,qarğa
170,Kuckuck::N,കുയിൽ,ququ
171,Schwan::N,അരയന്നം,qu quşu
172,Fisch::N,മത്സ്യം,balıq
173,Barsch::N,ഒരിനം മത്സ്യം,tar
174,Hecht::N,ഒരു മത്സ്യം,durnabalığı
175,Schlange[Tier]::N,പാമ്പ്,ilan
176,Wurm::N,വിര,qurd
177,Spinne::N,ചിലന്തി,hörümçək
178,Ameise::N,ഉറുമ്പ്,qarışqa
179,Laus::N,പേന്,bit
180,Mücke::N,മശകം,ağcaqanad
181,Fliege::N,ഈച്ച,milçək
182,Schmetterling::N,ചിത്രശലഭം,kəpənək
183,Beere::N,ബെറി,gilə
184,Apfel::N,ആപ്പിൾ,alma
185,Pilz::N,കൂൺ,göbələk
186,Zwiebel::N,സവാള,soğan
187,Saat::N,വിത്ത്,əkin
188,Korn::N,ധാന്യം,taxıl
189,Heu::N,വയ്ക്കോൽ,quru ot
190,Schale::N,തൊലി,qabıq
191,Grube::N,കുഴി,çuxur
192,Falle::N,കെണി,tələ
193,Falle::N,കെണി,duzaq
194,Schlinge::N,കുടുക്ക്,ilmək
195,Spur::N,ചുവട്,iz
196,Asche::N,ചാരം,kül
197,Dreck::N,അഴുക്ക്,kir
198,Eisen::N,ഇരുമ്പ്,dəmir
199,Gold::N,സ്വർണ്ണം,altun
200,Silber::N,വെള്ളി,gümüş
201,Kohle::N,കൽക്കരി,kömür
202,Glas::N,ഗ്ലാസ്,şüşə
203,Lehm::N,കളിമണ്ണ്,gil
204,Lehm::N,കളിമണ്ണ്,palçıq
205,Sand::N,മണൽ,qum
206,Mensch::N,മനുഷ്യർ,adam
207,Mensch::N,മനുഷ്യർ,insan
208,Mann::N,പുരുഷൻ,kişi
209,Frau::N,സ്ത്രീ,qadın
210,Kind::N,കുഞ്ഞ്,uşaq
211,Junge::N,ആൺകുട്ടി,oğlan
212,Mädchen::N,പെൺകുട്ടി,qız
213,Familie::N,കുടുംബം,ailə
214,Großvater::N,അപ്പൂപ്പൻ,baba
215,Großmutter::N,അമ്മുമ്മ,nənə
216,Eltern::N,മാതാപിതാക്കള്,valideyn
217,Vater::N,അച്ഛൻ,ata
218,Mutter::N,അമ്മ,ana
219,Sohn::N,മകൻ,oğul
220,Tochter::N,മകൾ,qız
221,Bruder::N,ചേട്ടൻ,qardaş
222,Bruder::N,അനിയൻ,qardaş
223,Schwester::N,ചേച്ചി,bacı
224,Schwester::N,അനിയത്തി,bacı
225,Onkel::N,അമ്മാവൻ,əmi
226,Onkel::N,അമ്മാവൻ,dayı
227,Tante::N,മാമി,bibi
228,Ehemann::N,ഭർത്താവ്,ər
229,Ehefrau::N,ഭാര്യ,arvad
230,Freude::N,ആഹ്ലാദം,nəşə
231,Freude::N,ആഹ്ലാദം,sevinc
232,Gelächter::N,ചിരിയുടെ ശബ്ദം,gülüş
233,Gelächter::N,ചിരിയുടെ ശബ്ദം,qəhqəhə
234,Glück::N,സന്തോഷം,səadət
235,Glück::N,സന്തോഷം,xoşbəxtlik
236,Glück::N,സന്തുഷ്ടി,səadət
237,Glück::N,സന്തുഷ്ടി,xoşbəxtlik
238,Kummer::N,ശോകം,qəm
239,Kummer::N,ശോകം,kədər
240,Wunsch::N,ആഗ്രഹം,arzu
241,Lust::N,ആഗ്രഹം,həvəs
242,Geist::N,ചുറുചുറുക്ക്,ruh
243,Gedanke::N,ചിന്ത,fikir
244,Gedanke::N,ചിന്ത,düşüncə
245,Gedächtnis::N,ഓർമ്മശക്തി,xatir
246,Gedächtnis::N,ഓർമ്മശക്തി,hafizə
247,Verstand::N,മനസ്സ്,ağıl
248,Sinn::N,അർത്ഥം,məna
249,Grund::N,കാരണം,səbəb
250,Wahrheit::N,സത്യം,haqq
251,Wahrheit::N,സത്യം,doğruluq
252,Gespräch::N,സല്ലാപം,söhbət
253,Gespräch::N,സല്ലാപം,qonuşma
254,Märchen::N,യക്ഷിക്കഥ,nağıl
255,Erzählung::N,കഥ,hekayə
256,Nachricht::N,സന്ദേശം,xəbər
257,Neuigkeit::N,വാർത്ത,xəbər
258,Neuigkeit::N,വാർത്ത,yenilik
259,Name::N,പേര്,ad
260,Rätsel::N,പ്രഹേളിക,tapmaca
261,Rede::N,സംസാരം,nitq
262,Sprache::N,ഭാഷ,dil
263,Stimme::N,സ്വരം,səs
264,Wort::N,വാക്ക്,söz
265,Wort::N,വാക്ക്,kəlmə
266,Zeichen::N,സംജ്ഞ,nişan
267,Ruf::N,വിളി,çığırtı
268,Lärm::N,ആരവം,gurultu
269,Laut::N,ശബ്ദം,səs
