,Concept_ID,ady,bn
0,Auge::N,нэ,চক্ষু
1,Ohr::N,тхьакӏу́м,কর্ণ
2,Nase::N,пэ,নাক
3,Mund::N,жэ,মুখ
4,Zahn::N,цэ,দাঁত
5,Zunge::N,бзэгу,জিহবা
6,Lippe::N,ӏупшӏэ́,অধর
7,Wange::N,нэкӏу́шъу,গণ্ড
8,Gesicht::N,нэ́гу,মুখমণ্ডল
9,Stirn::N,натӏэ́,কপাল
10,Haar::N,шъхьацы́,চুল
11,Bart::N,жакӏэ́,শ্মশ্রু
12,Kinn::N,жэкӏэпэпкъ,চিবুক
13,Kiefer[Anatomie]::N,жэпкъы́,চোয়াল
14,Kehle::N,чый,কণ্ঠ
15,Hals::N,пшъэ,গল
16,Genick::N,шъхьэпхэтыку,ঘাড়
17,Kopf::N,шъхьэ́,মাথা
18,Rücken::N,кӏыбы́,পৃষ্ঠ
19,Bauch::N,ныбэ́,উদর
20,Busen::N,бгъэ́,স্তন
21,Brust::N,бгъэ́,বুক
22,Schulter::N,блыпкъ,স্কন্ধ
23,Arm::N,ӏэ,বাহু
24,Ellenbogen::N,ӏэнтэ́гъу,কনুই
25,Hand::N,ӏэтхьэцу,হাত
26,Handfläche::N,ӏэ́гу,করতল
27,Finger::N,ӏэхъуа́мб,আঙ্গুল
28,Fingernagel::N,ӏэбжъа́н,হাতের নখ
29,Nagel[Anatomie]::N,ӏэбжъа́н,নখ
30,Zeh::N,ӏэхъуа́мб,আঙ্গুল
31,Fuß::N,лъэгу,পা
32,Ferse::N,лъэдакъэ,গোড়ালি
33,Knie::N,лъагуа́ндж,হাঁটু
34,Oberschenkel::N,ко,ঊরু
35,Bein::N,лъакъо́,পা
36,Körper::N,пкъышъол,দেহ
37,Haut::N,кӏы́шъу,ত্বক
38,Blut::N,лъы,রক্ত
39,Ader::N,льытф,শিরা
40,Sehne::N,фэ,কণ্ডরা
41,Knochen::N,къупшъхьэ́,অস্থি
42,Gehirn::N,куцӏы,মস্তিষ্ক
43,Herz::N,гу,হৃৎপিণ্ড
44,Magen::N,мышкӏу,পাকস্থলী
45,Leber::N,шӏу,যকৃৎ
46,Atem::N,къэщэныр,শ্বাস
47,Hunger::N,гъаблэ́,ক্ষুধা
48,Träne::N,нэпсы,অশ্রু
49,Geschmack::N,ӏэшӏугъа́кӏ,স্বাদ
50,Geruch::N,мэ,গন্ধ
51,Schlaf::N,пчыхьы́пӏ,ঘুম
52,Traum::N,пчыхьы́пӏ,স্বপ্ন
53,Himmel::N,уашъо́,আকাশ
54,Sonne::N,тыгъэ,সূর্য
55,Mond::N,мазэ,চন্দ্র
56,Stern::N,жъуагъо́,নক্ষত্র
57,Luft::N,жьы,বায়ু
58,Wind::N,жьыбгъэ́,বাতাস
59,Welle::N,ор,ঢেউ
60,Welle::N,ор,তরঙ্গ
61,Welle::N,оры,ঢেউ
62,Welle::N,оры,তরঙ্গ
63,Wasser::N,псы,জল
64,Stein::N,мыжъо́,ঢিল
65,Stein::N,мыжъо́,প্রস্তর
66,Boden::N,чӏ́ыгу,ভূতল
67,Erde::N,чӏ́ыгу,ভূমি
68,Staub::N,сап,ধুলা
69,Rauch::N,ӏугъо́,ধোঁয়া
70,Funke::N,мэшӏуа́ч,স্ফুলিঙ্গ
71,Feuer::N,машӏо́,অগ্নি
72,Licht::N,нэфы,আলো
73,Licht::N,нэфын,আলো
74,Schatten::N,жьау́,ছায়া
75,Schatten::N,ныбжьыкъу,ছায়া
76,Nebel::N,пща́гъу,কুহেলিকা
77,Wolke::N,ошъуапщэ,মেঘ
78,Regen::N,ощхы,বৃষ্টি
79,Schnee::N,осы́,তুষার
80,Eis::N,мылы,বরফ
81,Kälte::N,чъыӏэ́,শৈত্য
82,Hitze::N,фэба́е,তাপ
83,Regenbogen::N, лэгъупэкъо́пс,রামধনু
84,Donner::N,шыблэ́,বজ্রধ্বনি
85,Strömung::N,ток,স্রোত
86,Tropfen::N,ткӏопс,ফোঁটা
87,Tropfen::N,гъуаткӏу,ফোঁটা
88,Schaum::N,тхъурбэ,ফেনা
89,Schmutz::N,псынжъы,ধুলা
90,See::N,хыку́м,হ্রদ
91,See::N,псыхъура́й,হ্রদ
92,Sumpf::N,орыжъ,জলা
93,Moor::N,орыжъ,মাঠ
94,Wiese::N,хъупӏэ́,তৃণভূমি
95,Wiese::N,мэкъупӏ,তৃণভূমি
96,Wald::N,мэзы́,বন
97,Hügel::N,ӏуашъхь,পাহাড়
98,Anhöhe::N,чӏыӏэтыгъ,টিলা
99,Berg::N,къушъхьэ́,পর্বত
100,Gipfel::N,шыгу,শীর্ষ
101,Höhle::N,гъочӏэгъ,গুহা
102,Abhang::N,чапэ,ঢাল
103,Quelle::N,псынэчэ́чъ,উৎস
104,Bach::N,псышкуашку,ক্ষুদ্র নদী
105,Fluss::N,псыхъо́,নদী
106,Ufer::N,нэпкъы,উপকূল
107,Küste::N,ӏушъо,তীর
108,Festland::N,чӏл́ыгу,ভূমি
109,Meer::N,хы,সমুদ্র
110,Bucht::N,хыблыгу,উপসাগর
111,Insel::N,хыгъэхъу́н,দ্বীপ
112,Blume::N,къэгъа́гь,ফুল
113,Gras::N,уцы́,ঘাস
114,Wurzel::N,лъапсэ́,শিকড়
115,Baum::N,чъыгы́,গাছ
116,Stamm::N,пкъы,স্কন্ধ
117,Rinde::N,пхъашъо́,বল্কল
118,Ast::N,куамэ,শাখা
119,Zweig::N,къутамэ́,ডাল
120,Blatt::N,тхьап,পর্ণ
121,Birke::N,пчэн,ভুর্জ
122,Kiefer[Baum]::N,сэснэй,পাইন গাছ
123,Weide[Baum]::N,пце́л,উইলো
124,Tanne::N,ель,দেবদারূ গাছ
125,Horn::N,бжъэ,শিং
126,Feder::N,къамӏы́й,পালক
127,Fell::N,шъо,রোম
128,Flügel::N,тамэ́,ডানা
129,Klaue::N,лъэбжъа́н,নখর
130,Kralle::N,лъакъо,নখর
131,Schwanz::N,кӏэ,লেজ
132,Ei::N,кӏэнкӏэ́,ডিম
133,Nest::N,набгъо́,কুলায়
134,Bau::N,гъу,ডেরা
135,Bau::N,бы,ডেরা
136,Tier::N,псэу́шъхь,জন্তু
137,Herde::N,ӏэхъогъу,ঝাঁক
138,Kuh::N,чэмы́,গোরু
139,Bulle::N,цу,বৃষ
140,Pferd::N,шы,ঘোড়া
141,Schaf::N,мэлы́,ভেড়া
142,Schwein::N,къо,শূকর
143,Hund::N,бьэ,কুকুর
144,Katze::N,чэты́у,বেড়াল
145,Bär::N,мышъэ́,ভল্লুক
146,Eichhörnchen::N,цызэ́,কাঠবিড়াল
147,Elch::N,лось,হরিণবিশেষ
148,Fuchs::N,баджэ́,পাঁতিশিয়াল
149,Hase::N,тхьакӏумкӏы́хь,শশক
150,Maus::N,цыгъо́,নেংটি ইঁদুর
151,Wolf::N,тыгъу́жъ,নেকড়ে
152,Vogel::N,бзы́у,পক্ষী
153,Schwarm::N,отэр,ঝাঁক
154,Huhn::N,чэты́,মোরগ
155,Hahn::N,атакъэ́,কুক্কুট
156,Gans::N,къа́з,হংসী
157,Ente::N,псычэ́т,হংসী
158,Eule::N,тыгъурыгъу,পেচক
159,Kranich::N,къэрэ́у,সারস
160,Krähe::N,къолэ́жъ,কাক
161,Kuckuck::N,куку́у,কোকিল
162,Fisch::N,пцэжъы́й,মাছ
163,Barsch::N,тхыкъэц,মৎন্যবিশেষ
164,Hecht::N,лэнд,বানমাছ
165,Schlange[Tier]::N,блэ́,সর্প
166,Wurm::N,хьамлыу,কীট
167,Spinne::N,бэдж,মাকড়সা
168,Ameise::N,къамзэ́гу,পিপীলিকা
169,Laus::N,цӏэ,উকুন
170,Mücke::N,аргъо́й,মশা
171,Fliege::N,бадзэ́,মাছি
172,Schmetterling::N,хьампӏыра́шъу,প্রজাপতি
173,Beere::N,маткӏо,বেরি
174,Apfel::N,мыӏэры́с,আপেল
175,Pilz::N,хьаӏу,ছত্রক
176,Zwiebel::N,бжьыны́,পিয়াজ
177,Saat::N,чылапхъ,বীজ
178,Korn::N,цэ,শস্য
179,Heu::N,мэкъу,খড়
180,Schale::N,кӏы́шъу,খোসা
181,Grube::N,машэ́,গর্ত
182,Falle::N,зэраубытырэ́ ӏэмэпсы́м,ফাঁদ
183,Schlinge::N,бзыуубыт,পাশ
184,Spur::N,ужы,চিহ্ন
185,Spur::N,лъэуж,চিহ্ন
186,Asche::N,яжьэ́,ভস্ম
187,Dreck::N,псынжъы,ময়লা
188,Eisen::N,гыучӏы́,লোহা
189,Eisen::N,къэнджа́л,লোহা
190,Gold::N,дышъэ́,স্বর্ণ
191,Silber::N,тыжьы́н,রৌপ্য
192,Kohle::N,шӏомыкӏ,অঙ্গার
193,Glas::N,апч,কাচ
194,Lehm::N,етӏагъо́,মৃত্তিকা
195,Sand::N,пшахъо,বালি
196,Mensch::N,цӏыфы́,নর
197,Mensch::N,цӏыфы́,মানুষ
198,Mann::N,хъулъфы́гъ,মানুষ
199,Frau::N,бӏылъфыгъэ́,নারী
200,Kind::N,кӏэлэцӏы́кӏу,বাচ্চা
201,Junge::N,кӏэлэцӏы́кӏу,ছেলে
202,Mädchen::N,пшъэшъэжъый,মেয়ে
203,Familie::N,быны́,পরিবার
204,Familie::N,уна́гъу,পরিবার
205,Großvater::N,тэтэ́жъ,মাতামহ
206,Großmutter::N,нэнэ́жъ,মাতামহী
207,Eltern::N,ны-тыхэ́р,মাতাপিতা
208,Vater::N,ты,পিতা
209,Mutter::N,ны,মাতা
210,Sohn::N,къо,ছেলে
211,Tochter::N,пхъу,মেয়ে
212,Bruder::N,шы,দাদা
213,Schwester::N,шы́пхъу,বোন
214,Schwester::N,шы́пхъу,দিদি
215,Onkel::N,янэ́ш,মামা
216,Tante::N,атэшыпхъу,মাসী
217,Ehemann::N,лӏы,স্বামী
218,Ehefrau::N,шъу́з,পত্নী
219,Freude::N,гушӏуа́гъу,উল্লাস
220,Gelächter::N,щхыныр,হাসি
221,Glück::N,насы́п,সুখ
222,Kummer::N,тхьамыкӏагъу,দুঃখ
223,Wunsch::N,шӏонгъоны́гъ,আকাঙ্ক্ষা
224,Lust::N,шӏонгъоны́гъ,বাসনা
225,Geist::N,гу,আত্না
