,Concept_ID,zh,be
0,Auge::N,眼睛,вока
1,Ohr::N,耳朵,вуха
2,Nase::N,鼻子,нос
3,Mund::N,嘴,рот
4,Zahn::N,牙齿,зуб
5,Zunge::N,舌头,язык
6,Lippe::N,嘴唇,губа
7,Wange::N,面颊,шчака
8,Gesicht::N,脸,твар
9,Stirn::N,额,лоб
10,Haar::N,头发,волас
11,Haar::N,头发,валасы
12,Schnurrbart::N,髭须,вус
13,Schnurrbart::N,髭须,вусы
14,Bart::N,胡子,барада
15,Kinn::N,下巴,падбародак
16,Kiefer[Anatomie]::N,颌,сківіца
17,Kehle::N,嗓子,горла
18,Hals::N,颈,шыя
19,Genick::N,后颈,патыліца
20,Kopf::N,头,галава
21,Rücken::N,背,спіна
22,Bauch::N,肚子,жывот
23,Nabel::N,肚脐,пупок
24,Busen::N,胸脯,грудзі
25,Brust::N,胸,грудзі
26,Schulter::N,肩膀,плячо
27,Arm::N,臂膀,рука
28,Ellenbogen::N,肘,локаць
29,Hand::N,手,кісць
30,Handfläche::N,手掌,далонь
31,Finger::N,手指,палец
32,Fingernagel::N,指甲,ногаць
33,Nagel[Anatomie]::N,指甲,ногаць
34,Zeh::N,脚趾,палец
35,Fuß::N,脚,нага
36,Ferse::N,后跟,пята
37,Ferse::N,后跟,пятка
38,Knie::N,膝,калена
39,Oberschenkel::N,大腿,бядро
40,Oberschenkel::N,大腿,сцягно
41,Bein::N,腿,нага
42,Körper::N,身体,цела
43,Haut::N,皮肤,скура
44,Blut::N,血,кроў
45,Ader::N,血管,вена
46,Ader::N,血管,сасуд
47,Sehne::N,腱,жыла
48,Sehne::N,腱,цеціва
49,Sehne::N,腱,сухажылле
50,Knochen::N,骨,косць
51,Gehirn::N,脑,мозг
52,Herz::N,心,сэрца
53,Magen::N,胃,страўнік
54,Leber::N,肝,печань
55,Atem::N,呼吸,дыханне
56,Hunger::N,饿,голад
57,Träne::N,眼泪,сляза
58,Geschmack::N,味道,смак
59,Geruch::N,气味,пах
60,Schlaf::N,睡眠,сон
61,Traum::N,梦,сон
62,Himmel::N,天空,неба
63,Sonne::N,太阳,сонца
64,Mond::N,月亮,месяц
65,Stern::N,星,зорка
66,Luft::N,空气,паветра
67,Wind::N,风,вецер
68,Welle::N,波,хваля
69,Wasser::N,水,вада
70,Stein::N,石头,камень
