,Concept_ID,mrj,tr
0,Auge::N,сӹнзӓ,göz
1,Ohr::N,пӹлӹш,kulak
2,Nase::N,нер,burun
3,Mund::N,ышма,ağız
4,Zahn::N,пӱ,diş
5,Zunge::N,йӹлмӹ,dil
6,Lippe::N,тӹрвӹ,dudak
7,Wange::N,шӹргӹ,yanak
8,Gesicht::N,лицӓ,yüz
9,Stirn::N,лепкӓ,alın
10,Haar::N,ӱп,saç
11,Schnurrbart::N,öрш,bıyık
12,Bart::N,пандаш,sakal
13,Kinn::N,онгылаш,çene
14,Kiefer[Anatomie]::N,пӱ арата,çene
15,Kehle::N,логер,boğaz
16,Hals::N,шӱ,boyun
17,Hals::N,шӱ,gerdan
18,Genick::N,ланга,ense
19,Kopf::N,вуй,baş
20,Kopf::N,вуй,kafa
21,Rücken::N,туп,arka
22,Bauch::N,мӹшкӹр,karın
23,Nabel::N,кӹлӹмдӹ,göbek
24,Busen::N,цӹзӹ,koyun
25,Brust::N,мел,göğüs
26,Schulter::N,ӹнгӹжӓ,omuz
27,Arm::N,кид,kol
28,Ellenbogen::N,кӹнервуй,dirsek
29,Hand::N,лапа,el
30,Handfläche::N,кид лапа,avuç
31,Handfläche::N,кид лапа,el ayası
32,Finger::N,парня,parmak
33,Fingernagel::N,кӹч,el tırnağı
34,Nagel[Anatomie]::N,кӹч,tırnak
35,Zeh::N,парня,ayak parmağı
36,Fuß::N,ял лапа,ayak
37,Ferse::N,ялгавал,topuk
38,Ferse::N,ял кавал,topuk
39,Knie::N,пылвуй,diz
40,Oberschenkel::N,ӓрдӹ,uyluk
41,Bein::N,ял,bacak
42,Körper::N,монгыр,vücut
43,Haut::N,кавашты,cilt
44,Blut::N,вӹр,kan
45,Ader::N,вӹршӓр,damar
46,Sehne::N,кукшышӱн,kiriş
47,Knochen::N,лу,kemik
48,Gehirn::N,вим,beyin
49,Herz::N,шӱм,kalp
50,Herz::N,шӱм,yürek
51,Magen::N,шӱм,mide
52,Leber::N,мокш,karaciğer
53,Atem::N,шӱлӹш,nefes
54,Hunger::N,шужымаш,açlık
55,Träne::N,сӹнзӓвӹд,gözyaşı
56,Geschmack::N,тот,tat
57,Geschmack::N,тот,lezzet
58,Geruch::N,пыш,koku
59,Schlaf::N,ом,uyku
60,Traum::N,ом,düş
61,Traum::N,ом,rüya
62,Himmel::N,пӹлгом,gök
63,Sonne::N,кечӹ,güneş
64,Mond::N,тӹлзӹ,ay
65,Stern::N,шӹдӹр,yıldız
66,Luft::N,юж,hava
67,Luft::N,воздух,hava
68,Wind::N,мардеж,yel
69,Wind::N,мардеж,rüzgâr
70,Welle::N,ко,dalga
71,Welle::N,коэ,dalga
72,Wasser::N,вӹд,su
73,Stein::N,кӱ,taş
74,Boden::N,рок,yer
75,Boden::N,рок,zemin
76,Erde::N,свет,toprak
77,Staub::N,пырак,toz
78,Rauch::N,шӹкш,duman
79,Funke::N,ип,kıvılcım
80,Funke::N,тылип,kıvılcım
81,Feuer::N,тыл,ateş
82,Licht::N,соты,ışık
83,Licht::N,валгыды,ışık
84,Schatten::N,ӹмӹл,gölge
85,Wetter::N,игечӹ,hava
86,Nebel::N,тӹтӹрӓ,pus
87,Wolke::N,пӹл,bulut
88,Regen::N,юр,yağmur
89,Schnee::N,лым,kar
90,Eis::N,и,buz
91,Frost::N,ӱштӹ,don
92,Kälte::N,ӱштӹ,soğukluk
93,Hitze::N,шокшы,sıcaklık
94,Raureif::N,пöрш,kırç
95,Regenbogen::N,шанавӹл,gökkuşağı
96,Donner::N,хӹдӹртӹш,gök gürlemesi
97,Strömung::N,йогы,akıntı
98,Strömung::N,йогы,cereyan
99,Tropfen::N,капльы,damla
100,Tropfen::N,капльык,damla
101,Schaum::N,шонг,köpük
102,Schmutz::N,лявӹрӓ,çamur
103,Schmutz::N,лявӹрӓ,pislik
104,See::N,йӓр,göl
105,Sumpf::N,лӱкӹ,batak
106,Moor::N,куп,cılgıt
107,Wiese::N,алык,çimen
108,Wald::N,шӹргӹ,koru
109,Wald::N,шӹргӹ,orman
110,Hügel::N,пӱгӹрикӓ,tepe
111,Anhöhe::N,кӱкшикӓ,tümsek
112,Anhöhe::N,кӱкшикӓ,yükseklik
113,Berg::N,кырык,dağ
114,Gipfel::N,неркӓ,zirve
115,Höhle::N,ы́раж,in
116,Höhle::N,ы́раж,mağara
117,Abhang::N,полом,bayır
118,Quelle::N,вӹдсӹнзӓ,pınar
119,Quelle::N,вӹдсӹнзӓ,kaynak
120,Bach::N,ӓнгӹр,çay
121,Bach::N,ӓнгӹр,dere
122,Fluss::N,вӹд,nehir
123,Ufer::N,сир,kıyı
124,Ufer::N,сир,sahil
125,Küste::N,сир,kıyı
126,Küste::N,сир,sahil
127,Festland::N,мӱлӓндӹ,kara
128,Meer::N,тангыж,deniz
129,Bucht::N,вӹдъял,koy
130,Bucht::N,вӹдъял,körfez
131,Insel::N,острок,ada
132,Blume::N,пеледӹш,çiçek
133,Gras::N,шуды,ot
134,Gras::N,шуды,çim
135,Wurzel::N,важ,kök
136,Baum::N,пушӓнгӹ,ağaç
137,Stamm::N,пушӓнгӹ тӹнг,gövde
138,Rinde::N,каргыж,kabuk
139,Ast::N,укш,dal
140,Ast::N,укш,budak
141,Zweig::N,укш,dal
142,Blatt::N,листӹ,yaprak
143,Birke::N,куги,huş
144,Kiefer[Baum]::N,йӓктӹ,çam
145,Weide[Baum]::N,уа,söğüt
146,Tanne::N,кож,çam
147,Tanne::N,кож,köknar
148,Horn::N,шур,boynuz
149,Feder::N,пын,tüy
150,Fell::N,кавашты,post
151,Flügel::N,шылдыр,kanat
152,Klaue::N,кӹч,pençe
153,Kralle::N,лапа,tırnak
154,Schwanz::N,пач,kuyruk
155,Ei::N,мыны,yumurta
156,Nest::N,пӹжӓш,yuva
157,Bau::N,ыраж,in
158,Tier::N,во́льык,hayvan
159,Herde::N,кӹтö,sürü
160,Kuh::N,ышкал,inek
161,Bulle::N,ӱшкӱж,boğa
162,Pferd::N,имни,at
163,Pferd::N,имни,beygir
164,Schaf::N,шарык,koyun
165,Schwein::N,сасна,domuz
166,Hund::N,пи,it
167,Hund::N,пи,köpek
168,Katze::N,коти,kedi
169,Bär::N,мöскӓ,ayı
170,Eichhörnchen::N,ур,sincap
171,Elch::N,шарды,büyük kuzey geyiği
172,Fuchs::N,рӹвӹж,tilki
173,Hase::N,морен,tavşan
174,Maus::N,каля,fare
175,Maus::N,каля,sıçan
176,Wolf::N,пирӹ,kurt
177,Vogel::N,кек,kuş
178,Schwarm::N,цуца,sürü
179,Huhn::N,цӹвӹ,tavuk
180,Hahn::N,ӓптӓн,horoz
181,Gans::N,комбы,kaz
182,Adler::N,кучкыж,kartal
183,Adler::N,кучкыж,karakuş
184,Ente::N,лыды,ördek
185,Eule::N,тымана,baykuş
186,Kranich::N,тырня,turna
187,Kranich::N,тыртня,turna
188,Krähe::N,лудыгарак,karga
189,Kuckuck::N,куку,guguk
190,Schwan::N,йӱксӹ,kuğu
191,Fisch::N,кол,balık
192,Barsch::N,алангы,hani
193,Barsch::N,алангы,levrek
194,Hecht::N,нуж,turnabalığı
195,Hecht::N,нужгол,turnabalığı
196,Schlange[Tier]::N,кӹшкы,yılan
197,Wurm::N,шукш,kurt
198,Wurm::N,шукш,solucan
199,Spinne::N,ӓнгӹремшӹ,örümcek
200,Ameise::N,кыткы,karınca
201,Laus::N,ти,bit
202,Mücke::N,кужнер,sivrisinek
203,Mücke::N,кужынер,sivrisinek
204,Fliege::N,шӹнгӓ,sinek
205,Schmetterling::N,лӹпӹ,kelebek
206,Beere::N,мöр,tane
207,Apfel::N,олма,elma
208,Pilz::N,понгы,mantar
209,Zwiebel::N,охыра,soğan
210,Saat::N,нӱшмӹ,ekin
211,Saat::N,нӱшмӱ,ekin
212,Korn::N,пӹрцӹ,tane
213,Heu::N,шуды,kuru ot
214,Schale::N,аваха,kabuk
215,Schale::N,карлангы,kabuk
216,Grube::N,йӓм,çukur
217,Falle::N,лӱдӹ,tuzak
218,Falle::N,лӱдӹш,tuzak
219,Schlinge::N,онгы,ilmik
220,Spur::N,кишӓ,iz
221,Asche::N,ломых,kül
222,Asche::N,ломпыж,kül
223,Dreck::N,лявӹрӓ,pislik
224,Eisen::N,кӹртни,demir
225,Gold::N,шöртни,altın
226,Gold::N,шöртньӹ,altın
227,Silber::N,ши,gümüş
228,Kohle::N,шӱ,kömür
229,Glas::N,охоница,cam
230,Lehm::N,шун,balçık
231,Sand::N,ошма,kum
232,Mensch::N,эдем,insan
233,Mann::N,пӱэргӹ,adam
234,Mann::N,пӱэргӹ,erkek
235,Frau::N,ӹдӹрӓмӓш,bayan
236,Kind::N,ӓзӓ,çocuk
237,Kind::N,шачшы,çocuk
